REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,515.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,2553.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,2949.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,3417.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,2671.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,557.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Wages and salaries,Dollars,millions,163.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Wages and salaries,Dollars,millions,633.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Wages and salaries,Dollars,millions,720.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Wages and salaries,Dollars,millions,814.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Wages and salaries,Dollars,millions,673.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Wages and salaries,Dollars,millions,140.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Wages and salaries,Dollars,millions,100.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Wages and salaries,Dollars,millions,417.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Wages and salaries,Dollars,millions,483.0,True,False,False,False,False,40
2013,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Wages and salaries,Dollars,millions,547.0,True,False,False,False,False,50
2013,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Wages and salaries,Dollars,millions,462.0,True,False,False,False,False,60
2013,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Wages and salaries,Dollars,millions,100.0,True,False,False,False,False,70
2013,2016A000248,Business non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,63.0,True,False,False,False,False,20
2013,2016A000248,Business non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,216.0,True,False,False,False,False,30
2013,2016A000248,Business non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,238.0,True,False,False,False,False,40
2013,2016A000248,Business non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,267.0,True,False,False,False,False,50
2013,2016A000248,Business non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,211.0,True,False,False,False,False,60
2013,2016A000248,Business non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,40.0,True,False,False,False,False,70
2013,2016A000248,Government non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,353.0,True,False,False,False,False,20
2013,2016A000248,Government non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,1920.0,True,False,False,False,False,30
2013,2016A000248,Government non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,2228.0,True,False,False,False,False,40
2013,2016A000248,Government non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,2603.0,True,False,False,False,False,50
2013,2016A000248,Government non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,1998.0,True,False,False,False,False,60
2013,2016A000248,Government non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,417.0,True,False,False,False,False,70
2014,2016A000248,Total non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,528.0,True,False,False,False,False,20
2014,2016A000248,Total non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,2635.0,True,False,False,False,False,30
2014,2016A000248,Total non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,3030.0,True,False,False,False,False,40
2014,2016A000248,Total non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,3427.0,True,False,False,False,False,50
2014,2016A000248,Total non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,2778.0,True,False,False,False,False,60
2014,2016A000248,Total non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,620.0,True,False,False,False,False,70
2014,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Wages and salaries,Dollars,millions,167.0,True,False,False,False,False,20
2014,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Wages and salaries,Dollars,millions,673.0,True,False,False,False,False,30
2014,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Wages and salaries,Dollars,millions,766.0,True,False,False,False,False,40
2014,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Wages and salaries,Dollars,millions,841.0,True,False,False,False,False,50
2014,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Wages and salaries,Dollars,millions,718.0,True,False,False,False,False,60
2014,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Wages and salaries,Dollars,millions,156.0,True,False,False,False,False,70
2014,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Wages and salaries,Dollars,millions,105.0,True,False,False,False,False,20
